"country","count","lon","lat","weight"
"Canada",2,-98.31606295,61.37312602,0.0444444444444444
"Sri Lanka",1,80.7035495,7.61573833,0.0222222222222222
"Sweden",17,16.75289398,62.78917387,0.377777777777778
"France",9,-2.77052452,42.17160095,0.2
"USA",33,-112.49310668,45.68715961,0.733333333333333
"Netherlands",19,5.21412054,52.06812055,0.422222222222222
"Malaysia",5,109.69770226,3.79239687,0.111111111111111
"China",2,103.82491043,36.56127654,0.0444444444444444
"Ethiopia",7,39.60055108,8.62295174,0.155555555555556
"South Africa",45,25.08773292,-29.00105188,1
"Finland",3,26.27098883,64.49528534,0.0666666666666667
"UK",31,-2.8864099,54.14678254,0.688888888888889
"Zimbabwe",5,29.85188462,-19.00253671,0.111111111111111
"Spain",7,-3.65680212,40.23690054,0.155555555555556
"Australia",4,134.49257185,-25.73236473,0.0888888888888889
"Cameroon",15,12.73708339,5.69312773,0.333333333333333
"Central African Republic",1,20.46480872,6.56632137,0.0222222222222222
"Belgium",2,4.64012138,50.63740613,0.0444444444444444
"Kenya",14,37.79622573,0.59808146,0.311111111111111
"Tanzania",8,34.81314561,-6.27505027,0.177777777777778
"Ghana",4,-1.21646616,7.95379716,0.0888888888888889
"Germany",31,10.38154835,51.10621317,0.688888888888889
"Austria",8,14.13067289,47.58565692,0.177777777777778
"Denmark",5,10.05066968,55.96471679,0.111111111111111
"Mali",4,-3.53907938,17.34416278,0.0888888888888889
"Niger",1,9.38603447,17.41846424,0.0222222222222222
"DRC",2,23.64584865,-2.87959293,0.0444444444444444
"Indonesia",6,117.2721054,-2.22083111,0.133333333333333
"Switzerland",3,8.2153826,46.79902293,0.0666666666666667
"Argentina",1,-65.17821792,-35.38269629,0.0222222222222222
"Brazil",5,-53.093972,-10.78278082,0.111111111111111
"Dominican Republic",1,-70.49627229,18.89620449,0.0222222222222222
"India",1,79.61221374,22.88736601,0.0222222222222222
"Norway",1,15.41245003,68.79639971,0.0222222222222222
"Philippines",1,122.87471361,11.76338277,0.0222222222222222
"Côte d’Ivoire",3,-5.56901056,7.62783904,0.0666666666666667
"Bangladesh",1,90.24338951,23.84284613,0.0222222222222222
"Malawi",3,34.2899078,-13.21722587,0.0666666666666667
"Czech Republic",2,15.3141031,49.73244821,0.0444444444444444
"Sudan",1,29.93938333,15.9867575,0.0222222222222222
"Benin",1,2.32873763,9.64120833,0.0222222222222222
"Italy",2,12.07213695,42.78624892,0.0444444444444444
"Uganda",1,32.36703985,1.27569119,0.0222222222222222
"Zambia",1,27.77421234,-13.46011002,0.0222222222222222
"Japan",6,137.99253526,37.55590074,0.133333333333333
"Namibia",1,17.21079623,-22.128669,0.0222222222222222
"Mozambique",3,35.53752578,-17.27037614,0.0666666666666667
"Portugal",1,-8.59208959,39.58567981,0.0222222222222222
"Nigeria",1,8.09150439,9.59696812,0.0222222222222222
